FlightID,TimeIndex,Handler,Loading type,Chutes
SK1675,144,SGH,ULD,1
SK1714,146,SGH,BULK,1
DY3730,146,MNZ,BULK,1
SK1213,147,SGH,ULD,1
EZY4554,147,CFS,ULD,1
SK925,148,SGH,ULD,3
AC883,148,AVT,ULD,3
LH827,148,SGH,BULK,1
SK909,149,SGH,ULD,3
DL219,149,MNZ,BULK,3
SU2659,149,SGH,ULD,2
SK935,149,SGH,ULD,3
SQ351,150,SGH,ULD,3
BT132,151,SGH,BULK,2
SK547,151,SGH,ULD,1
SK7767,152,SGH,ULD,2
AF1151,156,AVT,ULD,2
AZ125,157,AVT,ULD,2
LH2443,158,SGH,BULK,2
SK585,159,SGH,ULD,1
AZ8011,159,AVT,ULD,2
DY3736,159,MNZ,BULK,1
VY1871,160,MNZ,ULD,2
AY666,160,AVT,ULD,2
WW304,160,AVT,ULD,1
